ID,Pos_0,Pos_1,PointOrder,ZoneLightID
300,4215.8745117188,3269.2653808594,1,60
301,4271.2856445312,4197.4038085938,2,60
302,4363.6376953125,4262.0502929688,3,60
303,4585.2827148438,4264.359375,4,60
304,4562.1948242188,4617.6059570312,5,60
305,4522.9448242188,4633.7670898438,6,60
306,4520.6362304688,4675.3256835938,7,60
307,4562.1948242188,4709.9580078125,8,60
308,4566.8125,4936.220703125,9,60
309,4622.2236328125,4940.837890625,10,60
310,4631.4584960938,5499.5678710938,11,60
311,4728.4282226562,5679.6547851562,12,60
312,4728.4282226562,5956.7109375,13,60
313,4682.2524414062,6012.1225585938,14,60
314,4673.0170898438,6487.7353515625,15,60
315,6081.3862304688,8990.4775390625,16,60
316,3043.0031738281,9590.765625,17,60
317,826.55297851563,8247.04296875,18,60
318,133.91203308106,5448.7744140625,19,60
319,957.13928222656,3272.8422851562,20,60
320,2381.5319824219,3242.5559082031,21,60
321,3117.2805175781,3195.2436523438,22,60
322,3292.0649414062,3263.7822265625,23,60
323,3610.390625,3122.0793457031,24,60
324,3746.0329589844,3111.1125488281,25,60
325,3812.3869628906,3198.4680175781,26,60
326,4098.685546875,3195.5236816406,27,60
327,4834.6333007812,-960.4599609375,1,61
328,4848.4858398438,-434.0530090332,2,61
329,5019.3374023438,-219.3346862793,3,61
330,5190.1889648438,78.50095367432,4,61
331,5208.6591796875,459.45324707031,5,61
332,5074.7485351562,540.26123046875,6,61
333,5074.7485351562,761.90625,7,61
334,5146.3212890625,932.75750732422,8,61
335,5365.6577148438,1080.5212402344,9,61
336,5356.4223632812,1165.9467773438,10,61
337,5240.982421875,1239.8284912109,11,61
338,5139.3950195312,1477.634765625,12,61
339,5044.734375,1500.7231445312,13,61
340,4929.2939453125,1634.6335449219,14,61
341,4832.32421875,1650.7950439453,15,61
342,4832.3247070312,1789.3233642578,16,61
343,4608.3706054688,1796.2497558594,17,61
344,4548.341796875,1731.6031494141,18,61
345,4271.2856445312,1731.6031494141,19,61
346,4206.6391601562,1791.6320800781,20,61
347,4174.3159179688,2036.3651123047,21,61
348,4229.7270507812,2045.6003417969,22,61
349,4262.0502929688,2156.4226074219,23,61
350,4262.0502929688,2299.568359375,24,61
351,4105.0517578125,2451.9494628906,25,61
352,4100.4340820312,2590.4777832031,26,61
353,4042.7141113281,2606.6394042969,27,61
354,4049.640625,2897.5483398438,28,61
355,4068.1110839844,3089.1789550781,29,61
